1,1,No Category,0
2,2,No Category,0
3,3,Account Transfer,1
4,3,Credit Card Payment,1
5,3,Deposit,1
6,3,Withdraw,1
7,4,Borrow,1
8,4,Lend,1
9,4,Payment,1
10,4,Receive payment,1
11,1,Balance Adjust,0
12,2,Balance Adjust,0
13,2,Investment,0
14,2,Bussiness,0
15,2,Rental Income,0
16,2,Cash Back,0
17,2,Refund,0
18,2,Benefit,0
19,2,SSI,0
20,2,Salary,1
21,2,Tip,0
22,2,Interest,0
23,2,Bonus,0
24,2,Dividend,0
25,2,Side Job,0
26,2,Pension,0
27,14,MTA,1
28,5,Breakfasst,1
29,5,Lunch,1
30,5,Dinner,1
31,5,Midnight Dinner,0
32,1,KTV,0
33,5,Drink,1
34,5,Grocery,1
35,14,Car Services,1
36,10,Houseware,1
37,14,Toll,0
